reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
32000,79207,41040,72936,61802,61838,66638,2.47521875,1.2825,2.27925,1.9313125,1.9324375,2.0824375
64000,137426,70872,93775,73684,69691,74553,2.14728125,1.107375,1.465234375,1.1513125,1.088921875,1.164890625
96000,203736,106917,117741,85728,77767,83008,2.12225,1.11371875,1.22646875,0.893,0.810072917,0.864666667
128000,291410,135777,141741,97833,86404,90972,2.276640625,1.060757813,1.107351563,0.764320313,0.67503125,0.71071875
160000,389745,165753,165746,109708,93715,98757,2.43590625,1.03595625,1.0359125,0.685675,0.58571875,0.61723125
192000,483026,200781,189739,121804,101740,106869,2.515760417,1.045734375,0.988223958,0.634395833,0.529895833,0.556609375
224000,581738,230798,213760,133749,109747,115008,2.597044643,1.030348214,0.954285714,0.59709375,0.489941964,0.513428571
256000,683995,262800,237792,145752,117741,122944,2.671855469,1.0265625,0.928875,0.56934375,0.459925781,0.48025
288000,773808,295838,266904,157824,125740,130771,2.686833333,1.027215278,0.92675,0.548,0.436597222,0.454065972
320000,869803,325855,285758,169756,133804,138849,2.718134375,1.018296875,0.89299375,0.5304875,0.4181375,0.433903125
352000,967303,360760,309744,181826,141787,146992,2.748019886,1.024886364,0.879954545,0.516551136,0.402803977,0.417590909
384000,1058983,390780,333732,198170,149733,154903,2.757768229,1.01765625,0.86909375,0.516067708,0.389929688,0.403393229
416000,1160164,426708,357748,205747,162026,162758,2.788855769,1.025740385,0.859971154,0.494584135,0.389485577,0.391245192
448000,1253779,455824,381760,217752,165760,170880,2.798613839,1.017464286,0.852142857,0.486053571,0.37,0.381428571
480000,1350547,485860,405751,229766,173738,185140,2.813639583,1.012208333,0.845314583,0.478679167,0.361954167,0.385708333
512000,1442805,520790,434176,241749,181749,186938,2.817978516,1.017167969,0.848,0.472166016,0.354978516,0.365113281
544000,1545045,554956,453756,253752,189890,195146,2.84015625,1.020139706,0.834110294,0.466455882,0.3490625,0.358724265
576000,1642029,581980,477748,265764,198756,202884,2.850744792,1.010381944,0.829423611,0.461395833,0.3450625,0.352229167
608000,1733793,615775,501741,277759,205718,210928,2.851633224,1.012787829,0.825231908,0.456840461,0.338351974,0.346921053
640000,1833588,645799,525753,289759,214730,218906,2.86498125,1.009060938,0.821489063,0.452748438,0.335515625,0.342040625
672000,1930437,685195,554167,306204,221750,226773,2.872674107,1.019635417,0.824653274,0.455660714,0.329985119,0.337459821
704000,2025986,710774,573780,313764,230762,234880,2.877821023,1.009622159,0.815028409,0.4456875,0.327786932,0.333636364
736000,2122039,741799,597770,325771,237741,242923,2.883205163,1.007879076,0.8121875,0.442623641,0.323017663,0.330058424
768000,2217940,779815,621756,337759,250814,250917,2.887942708,1.015384115,0.809578125,0.439790365,0.326580729,0.326714844
800000,2313972,805812,649843,349764,254784,258775,2.892465,1.007265,0.81230375,0.437205,0.31848,0.32346875
832000,2409967,840801,669770,361756,262764,270715,2.896594952,1.010578125,0.805012019,0.434802885,0.315822115,0.325378606
864000,2505931,875740,693744,373759,270751,274939,2.900383102,1.013587963,0.802944444,0.432591435,0.313369213,0.318216435
896000,2601984,901948,721896,392222,278748,282912,2.904,1.006638393,0.8056875,0.437747768,0.311102679,0.31575
928000,2697988,935757,741736,397759,286742,290784,2.907314655,1.008358836,0.799284483,0.428619612,0.308989224,0.313344828
960000,2794269,970188,765751,409768,294753,298903,2.910696875,1.0106125,0.797657292,0.426841667,0.307034375,0.311357292
992000,2890298,1000812,795859,421761,302736,306960,2.913606855,1.008883065,0.802277218,0.425162298,0.305177419,0.309435484
