reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
32000,78158,45931,80676,74064,2.4424375,1.43534375,2.521125,2.3145,,2.99070412,1.007317234,0.415936042,0.170367122
64000,131925,70946,85797,77726,2.061328125,1.10853125,1.340578125,1.21446875,,,,,
96000,199322,101868,101796,81842,2.076270833,1.061125,1.060375,0.852520833,,,,,
128000,288338,135837,109761,85804,2.252640625,1.061226563,0.857507813,0.67034375,,,,,
160000,384590,165854,121699,90364,2.4036875,1.0365875,0.76061875,0.564775,,,,,
192000,488124,200856,133735,100264,2.5423125,1.046125,0.696536458,0.522208333,,,,,
224000,580987,230846,145747,97701,2.593691964,1.0305625,0.65065625,0.436165179,,,,,
256000,676920,262838,157735,101685,2.64421875,1.026710938,0.616152344,0.397207031,,,,,
288000,768396,295800,169737,105736,2.668041667,1.027083333,0.589364583,0.367138889,,,,,
320000,869337,325816,181732,109752,2.716678125,1.018175,0.5679125,0.342975,,,,,
352000,960348,360808,193730,113731,2.728261364,1.025022727,0.550369318,0.323099432,,,,,
384000,1062220,395548,205730,117746,2.766197917,1.030072917,0.535755208,0.306630208,,,,,
416000,1156548,422887,217744,121788,2.780163462,1.016555288,0.523423077,0.292759615,,,,,
448000,1253599,455853,229754,125764,2.798212054,1.017529018,0.51284375,0.280723214,,,,,
480000,1348555,485836,241778,130058,2.809489583,1.012158333,0.503704167,0.270954167,,,,,
512000,1449211,520905,260047,134246,2.830490234,1.017392578,0.507904297,0.262199219,,,,,
544000,1540538,555374,265752,138321,2.831871324,1.020908088,0.488514706,0.254266544,,,,,
576000,1636718,582002,277776,142471,2.841524306,1.010420139,0.48225,0.247345486,,,,,
608000,1734811,615840,289771,146116,2.853307566,1.012894737,0.476597039,0.240322368,,,,,
640000,1832781,645816,301754,150381,2.863720313,1.0090875,0.471490625,0.234970313,,,,,
672000,1924584,685608,313754,153741,2.863964286,1.02025,0.466895833,0.22878125,,,,,
704000,2024990,710851,325747,158378,2.87640625,1.009731534,0.462708807,0.22496875,,,,,
736000,2122192,741847,337756,162093,2.883413043,1.007944293,0.458907609,0.220235054,,,,,
768000,2220098,782904,355123,170908,2.890752604,1.01940625,0.46239974,0.222536458,,,,,
800000,2316405,805840,361747,170246,2.89550625,1.0073,0.45218375,0.2128075,,,,,
832000,2409151,840844,373759,174453,2.895614183,1.010629808,0.449229567,0.209679087,,,,,
864000,2505045,875361,385764,178099,2.899357639,1.013149306,0.446486111,0.206133102,,,,,
896000,2601182,901999,397737,181768,2.903104911,1.006695313,0.443902902,0.202866071,,,,,
928000,2696496,935858,409764,186405,2.905706897,1.008467672,0.441556034,0.200867457,,,,,
960000,2792628,970336,426192,190665,2.9089875,1.010766667,0.44395,0.198609375,,,,,
992000,2892516,1000874,433773,194335,2.915842742,1.008945565,0.437271169,0.195902218,,,,,
1024000,2986185,1036310,445778,198504,2.916196289,1.012021484,0.435330078,0.193851563,,,,,
1056000,3081144,1062004,457747,202488,2.91775,1.005685606,0.433472538,0.19175,,,,,
1088000,3179493,1099843,469756,206443,2.922328125,1.01088511,0.431761029,0.189745404,,,,,
1120000,3276813,1125840,485817,209721,2.925725893,1.005214286,0.433765179,0.187250893,,,,,
1152000,3369098,1164892,493756,219684,2.924564236,1.011190972,0.428607639,0.190697917,,,,,
1184000,3468655,1190860,505773,218361,2.929607264,1.005793919,0.427173142,0.18442652,,,,,
1216000,3561040,1226121,517754,222489,2.928486842,1.008323191,0.425784539,0.182967928,,,,,
1248000,3662035,1255874,529749,226380,2.934322917,1.006309295,0.424478365,0.181394231,,,,,
1280000,3753009,1290345,546182,230414,2.932038281,1.008082031,0.426704688,0.180010938,,,,,
1312000,3853032,1320873,553761,234554,2.936762195,1.006762957,0.422073933,0.178775915,,,,,
1344000,3948868,1355371,565768,237772,2.938145833,1.008460565,0.420958333,0.17691369,,,,,
1376000,4041007,1382860,577800,242289,2.936778343,1.004985465,0.419912791,0.176082122,,,,,
1408000,4140895,1420339,593896,246511,2.940976563,1.008763494,0.421801136,0.175078835,,,,,
1440000,4237552,1445877,601766,250600,2.942744444,1.00408125,0.417893056,0.174027778,,,,,
1472000,4332859,1484800,613771,258722,2.943518342,1.008695652,0.416963995,0.175762228,,,,,
1504000,4424954,1515369,625768,258316,2.94212367,1.007559176,0.416069149,0.17175266,,,,,
1536000,4524986,1542016,642189,262500,2.945954427,1.003916667,0.418091797,0.170898438,,,,,
1568000,4620657,1580361,649756,266138,2.946847577,1.007883291,0.414385204,0.169730867,,,,,
1600000,4716892,1616762,661747,270482,2.9480575,1.01047625,0.413591875,0.16905125,,,,,
1632000,4813641,1640858,673780,274363,2.949534926,1.005427696,0.412855392,0.168114583,,,,,
