reduction -- vector examples,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,,,  combine8_2,  combine8_4,  combine8_8 
32000,79428,41088,78748,72088,88492,99832,2.482125,1.284,2.460875,2.25275,2.765375,3.11975,,0.257237564,0.1776634,0.189288174
64000,132228,70888,85682,77661,84736,82627,2.0660625,1.107625,1.33878125,1.213453125,1.324,1.291046875,,,,
96000,200373,101772,97708,83656,89260,106089,2.08721875,1.060125,1.017791667,0.871416667,0.929791667,1.10509375,,,,
128000,291626,135772,109658,89649,93547,93448,2.278328125,1.06071875,0.856703125,0.700382813,0.730835938,0.7300625,,,,
160000,387818,165825,121658,95659,98095,114916,2.4238625,1.03640625,0.7603625,0.59786875,0.61309375,0.718225,,,,
192000,491517,200774,133684,101649,104757,98764,2.559984375,1.045697917,0.696270833,0.529421875,0.545609375,0.514395833,,,,
224000,581947,230846,145670,107608,106528,124905,2.597977679,1.0305625,0.6503125,0.480392857,0.475571429,0.557611607,,,,
256000,674954,262804,157730,113716,110913,106917,2.636539063,1.026578125,0.616132813,0.444203125,0.433253906,0.417644531,,,,
288000,770925,295788,169677,119685,115308,140599,2.676822917,1.027041667,0.58915625,0.415572917,0.400375,0.488190972,,,,
320000,873775,331276,181663,125649,119649,114964,2.730546875,1.0352375,0.567696875,0.392653125,0.373903125,0.3592625,,,,
352000,965947,360782,193675,130768,124020,175821,2.744167614,1.024948864,0.550213068,0.3715,0.352329545,0.499491477,,,,
384000,1063720,390782,205687,137760,128392,122793,2.770104167,1.017661458,0.535643229,0.35875,0.334354167,0.319773438,,,,
416000,1154908,422798,217675,143683,132765,199725,2.776221154,1.016341346,0.523257212,0.345391827,0.319146635,0.480108173,,,,
448000,1255701,455788,237146,149659,137128,130795,2.802904018,1.017383929,0.52934375,0.334060268,0.306089286,0.291953125,,,,
480000,1346448,485764,241680,155709,141494,207763,2.8051,1.012008333,0.5035,0.32439375,0.294779167,0.432839583,,,,
512000,1449024,525225,253687,161760,145833,144760,2.830125,1.025830078,0.495482422,0.3159375,0.284830078,0.282734375,,,,
544000,1538918,550778,265694,167709,150242,215745,2.828893382,1.012459559,0.488408088,0.308288603,0.276180147,0.396590074,,,,
576000,1641432,582789,277692,178744,154581,146930,2.849708333,1.011786458,0.482104167,0.310319444,0.268369792,0.255086806,,,,
608000,1738346,615780,289699,179697,159031,223718,2.859121711,1.012796053,0.476478618,0.295554276,0.261564145,0.367957237,,,,
640000,1834036,650258,301694,185733,170145,154888,2.86568125,1.016028125,0.471396875,0.290207813,0.265851563,0.2420125,,,,
672000,1925916,680791,313692,191697,167690,231729,2.865946429,1.013081845,0.466803571,0.285263393,0.24953869,0.344834821,,,,
704000,2026588,710781,332076,197721,172032,162792,2.878676136,1.009632102,0.471698864,0.280853693,0.244363636,0.231238636,,,,
736000,2121852,746844,337716,203714,176397,239743,2.882951087,1.014733696,0.458853261,0.276785326,0.239669837,0.325737772,,,,
768000,2218384,775807,349725,209738,180765,170841,2.888520833,1.010165365,0.455371094,0.273096354,0.235371094,0.222449219,,,,
800000,2312428,805833,361689,215695,185138,247747,2.890535,1.00729125,0.45211125,0.26961875,0.2314225,0.30968375,,,,
832000,2410332,845148,373675,221731,189470,178900,2.897033654,1.015802885,0.449128606,0.266503606,0.227728365,0.215024038,,,,
864000,2506420,870782,385704,227697,193869,255756,2.900949074,1.007849537,0.446416667,0.263538194,0.224385417,0.296013889,,,,
896000,2600534,902774,397682,233709,198249,190881,2.902381696,1.007560268,0.443841518,0.260835938,0.221260045,0.21303683,,,,
928000,2697914,943341,416952,246655,202586,263743,2.907234914,1.01653125,0.449301724,0.265792026,0.218303879,0.284205819,,,,
960000,2797111,965798,421708,245767,206954,194788,2.913657292,1.006039583,0.439279167,0.256007292,0.215577083,0.202904167,,,,
992000,2894620,1000790,433706,251757,211308,271759,2.91796371,1.008860887,0.437203629,0.253787298,0.213012097,0.273950605,,,,
1024000,2986144,1034604,445694,257726,215676,202826,2.91615625,1.010355469,0.435248047,0.251685547,0.210621094,0.198072266,,,,
1056000,3082281,1062772,457689,263709,226236,279734,2.918826705,1.006412879,0.433417614,0.249724432,0.214238636,0.264899621,,,,
1088000,3180900,1101350,476680,269781,224491,210900,2.923621324,1.012270221,0.438125,0.247960478,0.20633364,0.193841912,,,,
1120000,3274305,1125808,481704,275680,228835,287743,2.923486607,1.005185714,0.430092857,0.246142857,0.204316964,0.256913393,,,,
1152000,3370404,1165173,493682,281683,233126,218884,2.925697917,1.011434896,0.428543403,0.244516493,0.202366319,0.190003472,,,,
1184000,3469228,1190781,505677,287702,237518,295735,2.930091216,1.005727196,0.427092061,0.242991554,0.200606419,0.249776182,,,,
1216000,3562070,1226412,517687,298548,241850,233169,2.929333882,1.0085625,0.425729441,0.245516447,0.198889803,0.191750822,,,,
1248000,3662203,1255802,534009,299731,246230,303756,2.934457532,1.006251603,0.427891827,0.240169071,0.197299679,0.243394231,,,,
1280000,3754327,1290235,541732,305676,250646,234842,2.933067969,1.007996094,0.423228125,0.238809375,0.195817188,0.183470313,,,,
1312000,3853459,1320787,553706,311772,254947,311755,2.937087652,1.006697409,0.422032012,0.237631098,0.19431936,0.23761814,,,,
1344000,3949960,1354660,565692,317721,259375,242935,2.938958333,1.007931548,0.420901786,0.236399554,0.192987351,0.180755208,,,,
1376000,4042377,1386876,585086,323719,269858,319747,2.937773983,1.00790407,0.425207849,0.235260901,0.196117733,0.232374273,,,,
1408000,4139743,1415803,589699,329740,268092,250795,2.940158381,1.005541903,0.418820313,0.234190341,0.19040625,0.178121449,,,,
