dot product examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2,,,,,,
32,5686.4,5686.4,5686.4,5686.4,5686.4,5689.3,,,,,,
64,39916,39916,39916,39916,39916,44126,,,,,,
96,1.38E+05,1.38E+05,1.38E+05,1.38E+05,1.38E+05,1.43E+05,,,,,,
128,3.24E+05,3.24E+05,3.24E+05,3.24E+05,3.24E+05,3.31E+05,,,,,,
160,6.76E+05,6.76E+05,6.76E+05,6.76E+05,6.76E+05,6.91E+05,,,,,,
192,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.22E+06,,,,,,
224,1.83E+06,1.83E+06,1.83E+06,1.83E+06,1.83E+06,1.87E+06,,,,,,
256,2.64E+06,2.64E+06,2.64E+06,2.64E+06,2.64E+06,2.67E+06,,,,,,
288,3.82E+06,3.82E+06,3.82E+06,3.82E+06,3.82E+06,3.89E+06,,,,,,
320,5.36E+06,5.36E+06,5.36E+06,5.36E+06,5.36E+06,5.40E+06,,,,,,
352,7.16E+06,7.16E+06,7.16E+06,7.16E+06,7.16E+06,7.21E+06,,,,,,
384,9.27E+06,9.27E+06,9.27E+06,9.27E+06,9.27E+06,9.32E+06,,,,,,
416,1.19E+07,1.19E+07,1.19E+07,1.19E+07,1.19E+07,1.20E+07,,,,,,
448,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.50E+07,,,,,,
480,1.85E+07,1.85E+07,1.85E+07,1.85E+07,1.85E+07,1.86E+07,,,,,,
512,2.27E+07,2.27E+07,2.27E+07,2.27E+07,2.27E+07,2.28E+07,,,,,,
544,2.74E+07,2.74E+07,2.74E+07,2.74E+07,2.74E+07,2.75E+07,,,,,,
576,3.32E+07,3.32E+07,3.32E+07,3.32E+07,3.32E+07,3.35E+07,,,,,,
608,3.92E+07,3.92E+07,3.92E+07,3.92E+07,3.92E+07,3.93E+07,,,,,,
640,4.49E+07,4.49E+07,4.49E+07,4.49E+07,4.49E+07,4.52E+07,,,,,,
672,5.18E+07,5.18E+07,5.18E+07,5.18E+07,5.18E+07,5.20E+07,,,,,,
