dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
32,5686.4,5686.4,5686.4,5686.4,5686.4,5686.4,5431.2,5686.4,,,,,,,,,
64,39916,39916,39916,39916,39916,39916,39158,39916,,,,,,,,,
96,1.38E+05,1.38E+05,1.38E+05,1.38E+05,1.38E+05,1.38E+05,1.29E+05,1.38E+05,,,,,,,,,
128,3.24E+05,3.24E+05,3.24E+05,3.24E+05,3.24E+05,3.24E+05,3.03E+05,3.24E+05,,,,,,,,,
160,6.76E+05,6.76E+05,6.76E+05,6.76E+05,6.76E+05,6.76E+05,6.37E+05,6.76E+05,,,,,,,,,
192,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.13E+06,1.20E+06,,,,,,,,,
224,1.83E+06,1.83E+06,1.83E+06,1.83E+06,1.83E+06,1.83E+06,1.73E+06,1.83E+06,,,,,,,,,
256,2.64E+06,2.64E+06,2.64E+06,2.64E+06,2.64E+06,2.64E+06,2.46E+06,2.64E+06,,,,,,,,,
288,3.82E+06,3.82E+06,3.82E+06,3.82E+06,3.82E+06,3.82E+06,3.59E+06,3.82E+06,,,,,,,,,
320,5.36E+06,5.36E+06,5.36E+06,5.36E+06,5.36E+06,5.36E+06,4.92E+06,5.36E+06,,,,,,,,,
352,7.16E+06,7.16E+06,7.16E+06,7.16E+06,7.16E+06,7.16E+06,6.59E+06,7.16E+06,,,,,,,,,
384,9.27E+06,9.27E+06,9.27E+06,9.27E+06,9.27E+06,9.27E+06,8.56E+06,9.27E+06,,,,,,,,,
416,1.19E+07,1.19E+07,1.19E+07,1.19E+07,1.19E+07,1.19E+07,1.10E+07,1.19E+07,,,,,,,,,
448,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.37E+07,1.48E+07,,,,,,,,,
480,1.85E+07,1.85E+07,1.85E+07,1.85E+07,1.85E+07,1.85E+07,1.70E+07,1.85E+07,,,,,,,,,
512,2.27E+07,2.27E+07,2.27E+07,2.27E+07,2.27E+07,2.27E+07,2.08E+07,2.27E+07,,,,,,,,,
544,2.74E+07,2.74E+07,2.74E+07,2.74E+07,2.74E+07,2.74E+07,2.51E+07,2.74E+07,,,,,,,,,
576,3.32E+07,3.32E+07,3.32E+07,3.32E+07,3.32E+07,3.32E+07,3.07E+07,3.32E+07,,,,,,,,,
608,3.92E+07,3.92E+07,3.92E+07,3.92E+07,3.92E+07,3.92E+07,3.61E+07,3.92E+07,,,,,,,,,
640,4.49E+07,4.49E+07,4.49E+07,4.49E+07,4.49E+07,4.49E+07,4.13E+07,4.49E+07,,,,,,,,,
672,5.18E+07,5.18E+07,5.18E+07,5.18E+07,5.18E+07,5.18E+07,4.75E+07,5.18E+07,,,,,,,,,
704,6.00E+07,6.00E+07,6.00E+07,6.00E+07,6.00E+07,6.00E+07,5.48E+07,6.00E+07,,,,,,,,,
736,6.85E+07,6.85E+07,6.85E+07,6.85E+07,6.85E+07,6.85E+07,6.30E+07,6.85E+07,,,,,,,,,
768,7.71E+07,7.71E+07,7.71E+07,7.71E+07,7.71E+07,7.71E+07,7.10E+07,7.71E+07,,,,,,,,,
800,8.84E+07,8.84E+07,8.84E+07,8.84E+07,8.84E+07,8.84E+07,8.11E+07,8.84E+07,,,,,,,,,
832,9.84E+07,9.84E+07,9.84E+07,9.84E+07,9.84E+07,9.84E+07,9.07E+07,9.84E+07,,,,,,,,,
864,1.11E+08,1.11E+08,1.11E+08,1.11E+08,1.11E+08,1.11E+08,1.02E+08,1.11E+08,,,,,,,,,
896,1.20E+08,1.20E+08,1.20E+08,1.20E+08,1.20E+08,1.20E+08,1.10E+08,1.20E+08,,,,,,,,,
928,1.33E+08,1.33E+08,1.33E+08,1.33E+08,1.33E+08,1.33E+08,1.22E+08,1.33E+08,,,,,,,,,
960,1.50E+08,1.50E+08,1.50E+08,1.50E+08,1.50E+08,1.50E+08,1.37E+08,1.50E+08,,,,,,,,,
992,1.65E+08,1.65E+08,1.65E+08,1.65E+08,1.65E+08,1.65E+08,1.52E+08,1.65E+08,,,,,,,,,
1024,1.82E+08,1.82E+08,1.82E+08,1.82E+08,1.82E+08,1.82E+08,1.66E+08,1.82E+08,,,,,,,,,
1056,1.98E+08,1.98E+08,1.98E+08,1.98E+08,1.98E+08,1.98E+08,1.82E+08,1.98E+08,,,,,,,,,
1088,2.16E+08,2.16E+08,2.16E+08,2.16E+08,2.16E+08,2.16E+08,1.99E+08,2.16E+08,,,,,,,,,
1120,2.38E+08,2.38E+08,2.38E+08,2.38E+08,2.38E+08,2.38E+08,2.19E+08,2.38E+08,,,,,,,,,
1152,2.60E+08,2.60E+08,2.60E+08,2.60E+08,2.60E+08,2.60E+08,2.39E+08,2.60E+08,,,,,,,,,
1184,2.83E+08,2.83E+08,2.83E+08,2.83E+08,2.83E+08,2.83E+08,2.60E+08,2.83E+08,,,,,,,,,
1216,3.04E+08,3.04E+08,3.04E+08,3.04E+08,3.04E+08,3.04E+08,2.78E+08,3.04E+08,,,,,,,,,
1248,3.29E+08,3.29E+08,3.29E+08,3.29E+08,3.29E+08,3.29E+08,3.02E+08,3.29E+08,,,,,,,,,
1280,3.55E+08,3.55E+08,3.55E+08,3.55E+08,3.55E+08,3.55E+08,3.27E+08,3.55E+08,,,,,,,,,
1312,3.81E+08,3.81E+08,3.81E+08,3.81E+08,3.81E+08,3.81E+08,3.49E+08,3.81E+08,,,,,,,,,
1344,4.09E+08,4.09E+08,4.09E+08,4.09E+08,4.09E+08,4.09E+08,3.76E+08,4.09E+08,,,,,,,,,
1376,4.44E+08,4.44E+08,4.44E+08,4.44E+08,4.44E+08,4.44E+08,4.08E+08,4.44E+08,,,,,,,,,
1408,4.76E+08,4.76E+08,4.76E+08,4.76E+08,4.76E+08,4.76E+08,4.37E+08,4.76E+08,,,,,,,,,
1440,5.08E+08,5.08E+08,5.08E+08,5.08E+08,5.08E+08,5.08E+08,4.67E+08,5.08E+08,,,,,,,,,
1472,5.42E+08,5.42E+08,5.42E+08,5.42E+08,5.42E+08,5.42E+08,4.99E+08,5.42E+08,,,,,,,,,
1504,5.81E+08,5.81E+08,5.81E+08,5.81E+08,5.81E+08,5.81E+08,5.35E+08,5.81E+08,,,,,,,,,
1536,6.12E+08,6.12E+08,6.12E+08,6.12E+08,6.12E+08,6.12E+08,5.62E+08,6.12E+08,,,,,,,,,
1568,6.48E+08,6.48E+08,6.48E+08,6.48E+08,6.48E+08,6.48E+08,5.94E+08,6.48E+08,,,,,,,,,
1600,6.90E+08,6.90E+08,6.90E+08,6.90E+08,6.90E+08,6.90E+08,6.34E+08,6.90E+08,,,,,,,,,
